timestamp(ms),Livello Fumo,
"1775735327.956","698",
"1775735328.056","700",
"1775735328.156","698",
"1775735328.256","693",
"1775735328.356","694",
"1775735328.456","697",
"1775735328.556","698",
"1775735328.656","695",
"1775735328.756","694",
"1775735328.856","687",
"1775735328.956","700",
"1775735329.056","697",
"1775735329.156","696",
"1775735329.256","692",
"1775735329.356","697",
"1775735329.456","696",
"1775735329.556","694",
"1775735329.656","695",
"1775735329.756","693",
"1775735329.856","685",
"1775735329.956","684",
"1775735330.056","688",
"1775735330.156","696",
"1775735330.256","695",
"1775735330.356","693",
"1775735330.456","695",
"1775735330.556","696",
"1775735330.656","689",
"1775735330.756","699",
"1775735330.856","688",
"1775735330.956","693",
"1775735331.057","694",
"1775735331.156","693",
"1775735331.257","696",
"1775735331.357","692",
"1775735331.456","688",
"1775735331.557","692",
"1775735331.657","693",
"1775735331.757","688",
"1775735331.856","692",
"1775735331.957","688",
"1775735332.057","687",
"1775735332.157","686",
"1775735332.256","691",
"1775735332.357","685",
"1775735332.457","689",
"1775735332.557","687",
"1775735332.657","686",
"1775735332.757","691",
"1775735332.857","686",
"1775735332.957","688",
"1775735333.057","686",
"1775735333.157","687",
"1775735333.257","686",
"1775735333.357","685",
"1775735333.457","686",
"1775735333.557","682",
"1775735333.657","685",
"1775735333.757","685",
"1775735333.857","679",
"1775735333.957","682",
"1775735334.057","683",
"1775735334.157","685",
"1775735334.257","686",
"1775735334.357","684",
"1775735334.457","682",
"1775735334.557","682",
"1775735334.657","683",
"1775735334.757","680",
"1775735334.857","680",
"1775735334.957","679",
"1775735335.057","680",
"1775735335.157","680",
"1775735335.257","680",
"1775735335.357","678",
"1775735335.457","679",
"1775735335.557","678",
"1775735335.657","678",
"1775735335.757","672",
"1775735335.857","676",
"1775735335.957","678",
"1775735336.057","675",
"1775735336.157","677",
"1775735336.257","677",
"1775735336.357","675",
"1775735336.457","675",
"1775735336.557","686",
"1775735336.657","678",
"1775735336.757","668",
"1775735336.857","676",
"1775735336.957","671",
"1775735337.057","669",
"1775735337.157","676",
"1775735337.257","670",
"1775735337.357","675",
"1775735337.457","675",
"1775735337.557","672",
"1775735337.657","667",
"1775735337.757","672",
"1775735337.857","671",
"1775735337.957","668",
"1775735338.057","669",
"1775735338.157","668",
"1775735338.257","671",
"1775735338.357","672",
"1775735338.457","668",
"1775735338.557","669",
"1775735338.657","669",
"1775735338.757","667",
"1775735338.857","667",
"1775735338.957","667",
"1775735339.057","669",
"1775735339.157","669",
"1775735339.257","669",
"1775735339.357","669",
"1775735339.457","667",
"1775735339.557","668",
"1775735339.657","671",
"1775735339.757","666",
"1775735339.857","668",
"1775735339.957","666",
"1775735340.057","666",
"1775735340.157","666",
"1775735340.257","669",
"1775735340.357","663",
"1775735340.457","664",
"1775735340.557","667",
"1775735340.657","664",
"1775735340.757","666",
"1775735340.857","664",
"1775735340.957","664",
"1775735341.057","664",
"1775735341.157","662",
"1775735341.257","661",
"1775735341.357","664",
"1775735341.457","663",
"1775735341.557","666",
"1775735341.657","665",
"1775735341.757","664",
"1775735341.857","658",
"1775735341.957","664",
"1775735342.057","662",
"1775735342.157","659",
"1775735342.257","665",
"1775735342.357","666",
"1775735342.457","664",
"1775735342.557","662",
"1775735342.657","660",
"1775735342.757","663",
"1775735342.857","659",
"1775735342.957","658",
"1775735343.057","655",
"1775735343.157","660",
"1775735343.257","662",
"1775735343.357","659",
"1775735343.457","661",
"1775735343.557","655",
"1775735343.657","655",
"1775735343.757","653",
"1775735343.857","658",
"1775735343.957","659",
"1775735344.057","660",
"1775735344.157","653",
"1775735344.257","653",
"1775735344.357","654",
"1775735344.457","661",
"1775735344.557","651",
"1775735344.657","654",
"1775735344.757","655",
"1775735344.857","654",
"1775735344.957","654",
"1775735345.057","660",
"1775735345.157","654",
"1775735345.257","651",
"1775735345.357","655",
"1775735345.457","650",
"1775735345.557","653",
"1775735345.657","654",
"1775735345.757","653",
"1775735345.857","652",
"1775735345.957","653",
"1775735346.057","652",
"1775735346.157","652",
"1775735346.257","651",
"1775735346.357","651",
"1775735346.457","652",
"1775735346.557","649",
"1775735346.657","646",
"1775735346.757","649",
"1775735346.857","649",
"1775735346.957","647",
"1775735347.057","646",
"1775735347.157","650",
"1775735347.257","647",
"1775735347.357","648",
"1775735347.457","639",
"1775735347.557","647",
"1775735347.657","647",
"1775735347.757","639",
"1775735347.857","646",
"1775735347.957","648",
"1775735348.057","649",
"1775735348.157","645",
"1775735348.257","638",
"1775735348.357","648",
"1775735348.457","645",
"1775735348.557","640",
"1775735348.657","640",
"1775735348.757","640",
"1775735348.857","639",
"1775735348.957","637",
"1775735349.057","636",
"1775735349.157","639",
"1775735349.257","639",
"1775735349.357","637",
"1775735349.457","646",
"1775735349.557","637",
"1775735349.657","638",
"1775735349.757","636",
"1775735349.857","632",
"1775735349.957","635",
"1775735350.057","635",
"1775735350.157","635",
"1775735350.257","633",
"1775735350.357","640",
"1775735350.457","637",
"1775735350.557","637",
"1775735350.657","636",
"1775735350.757","638",
"1775735350.857","637",
"1775735350.957","636",
"1775735351.057","636",
"1775735351.157","635",
"1775735351.257","634",
"1775735351.357","632",
"1775735351.457","630",
"1775735351.557","631",
"1775735351.657","631",
"1775735351.757","633",
"1775735351.857","632",
"1775735351.957","631",
"1775735352.057","628",
"1775735352.157","631",
"1775735352.257","632",
"1775735352.357","634",
"1775735352.457","632",
"1775735352.557","632",
"1775735352.657","629",
"1775735352.757","632",
"1775735352.857","633",
"1775735352.957","627",
"1775735353.057","632",
"1775735353.157","632",
"1775735353.257","627",
"1775735353.357","631",
"1775735353.457","627",
"1775735353.557","630",
"1775735353.657","630",
"1775735353.757","628",
"1775735353.857","624",
"1775735353.957","629",
"1775735354.057","623",
"1775735354.157","627",
"1775735354.257","628",
"1775735354.357","629",
"1775735354.457","618",
"1775735354.557","627",
"1775735354.657","627",
"1775735354.757","620",
"1775735354.857","628",
"1775735354.957","630",
"1775735355.057","629",
"1775735355.157","629",
"1775735355.257","623",
"1775735355.357","618",
"1775735355.457","629",
"1775735355.557","625",
"1775735355.657","622",
"1775735355.757","617",
"1775735355.857","621",
"1775735355.957","628",
"1775735356.057","626",
"1775735356.157","623",
"1775735356.257","620",
"1775735356.357","623",
"1775735356.457","627",
"1775735356.557","620",
"1775735356.657","622",
"1775735356.757","621",
"1775735356.857","621",
"1775735356.957","627",
"1775735357.057","623",
"1775735357.157","619",
"1775735357.257","623",
"1775735357.357","619",
"1775735357.457","620",
"1775735357.557","619",
"1775735357.657","622",
"1775735357.757","622",
"1775735357.857","623",
"1775735357.957","620",
"1775735358.057","620",
"1775735358.157","619",
"1775735358.257","620",
"1775735358.357","618",
"1775735358.457","619",
"1775735358.557","621",
"1775735358.657","620",
"1775735358.757","619",
"1775735358.857","620",
"1775735358.957","621",
"1775735359.057","619",
"1775735359.157","618",
"1775735359.257","620",
"1775735359.357","621",
"1775735359.457","617",
"1775735359.557","622",
"1775735359.657","617",
"1775735359.757","616",
"1775735359.857","617",
"1775735359.957","616",
"1775735360.057","616",
"1775735360.157","615",
"1775735360.257","617",
"1775735360.357","617",
"1775735360.457","616",
"1775735360.557","617",
"1775735360.657","616",
"1775735360.757","616",
"1775735360.857","616",
"1775735360.957","614",
"1775735361.057","617",
"1775735361.157","616",
"1775735361.257","612",
"1775735361.357","616",
"1775735361.457","614",
"1775735361.557","615",
"1775735361.657","614",
"1775735361.757","619",
"1775735361.857","614",
"1775735361.957","613",
"1775735362.057","612",
"1775735362.157","613",
"1775735362.257","612",
"1775735362.357","614",
"1775735362.457","607",
"1775735362.557","613",
"1775735362.657","612",
"1775735362.757","612",
"1775735362.857","610",
"1775735362.957","611",
"1775735363.057","613",
"1775735363.157","611",
"1775735363.257","612",
"1775735363.357","608",
"1775735363.457","611",
"1775735363.557","613",
"1775735363.657","612",
"1775735363.757","606",
"1775735363.857","606",
"1775735363.957","607",
"1775735364.057","611",
"1775735364.157","605",
"1775735364.257","607",
"1775735364.357","611",
"1775735364.457","607",
"1775735364.557","603",
"1775735364.657","603",
"1775735364.757","605",
"1775735364.857","605",
"1775735364.957","606",
"1775735365.057","606",
"1775735365.157","608",
"1775735365.257","605",
"1775735365.357","604",
"1775735365.457","606",
"1775735365.557","599",
"1775735365.657","605",
"1775735365.757","604",
"1775735365.857","600",
"1775735365.957","612",
"1775735366.057","604",
"1775735366.157","601",
"1775735366.257","604",
"1775735366.357","604",
"1775735366.457","613",
"1775735366.557","603",
"1775735366.657","601",
"1775735366.757","602",
"1775735366.857","600",
"1775735366.957","590",
"1775735367.057","600",
"1775735367.157","605",
"1775735367.257","597",
"1775735367.357","601",
"1775735367.457","602",
"1775735367.557","602",
"1775735367.657","601",
"1775735367.757","619",
"1775735367.857","602",
"1775735367.957","602",
"1775735368.057","601",
"1775735368.157","602",
"1775735368.257","598",
"1775735368.357","602",
"1775735368.457","600",
"1775735368.557","603",
"1775735368.657","600",
"1775735368.757","603",
"1775735368.857","598",
"1775735368.957","602",
"1775735369.057","600",
"1775735369.157","599",
"1775735369.257","600",
"1775735369.357","598",
"1775735369.457","599",
"1775735369.557","598",
"1775735369.657","600",
"1775735369.757","599",
"1775735369.857","599",
"1775735369.957","599",
"1775735370.057","600",
"1775735370.157","599",
"1775735370.257","597",
"1775735370.357","596",
"1775735370.457","595",
"1775735370.557","596",
"1775735370.657","598",
"1775735370.757","600",
"1775735370.857","601",
"1775735370.957","598",
"1775735371.057","596",
"1775735371.157","595",
"1775735371.257","597",
"1775735371.357","595",
"1775735371.457","586",
"1775735371.557","600",
"1775735371.657","592",
"1775735371.757","598",
"1775735371.857","595",
"1775735371.957","596",
"1775735372.057","591",
"1775735372.157","596",
"1775735372.257","595",
"1775735372.357","596",
"1775735372.457","591",
"1775735372.557","595",
"1775735372.657","591",
"1775735372.757","591",
"1775735372.857","591",
"1775735372.957","591",
"1775735373.057","593",
"1775735373.157","594",
"1775735373.257","597",
"1775735373.357","591",
"1775735373.457","594",
"1775735373.557","591",
"1775735373.657","595",
"1775735373.757","591",
"1775735373.857","591",
"1775735373.957","590",
"1775735374.057","590",
"1775735374.157","590",
"1775735374.257","590",
"1775735374.357","589",
"1775735374.457","591",
"1775735374.557","582",
"1775735374.657","587",
"1775735374.757","587",
"1775735374.857","587",
"1775735374.957","588",
"1775735375.057","589",
"1775735375.157","588",
"1775735375.257","589",
"1775735375.357","586",
"1775735375.457","587",
"1775735375.557","587",
"1775735375.657","586",
"1775735375.757","586",
"1775735375.857","587",
"1775735375.957","585",
"1775735376.057","584",
"1775735376.157","585",
"1775735376.257","588",
"1775735376.357","586",
"1775735376.457","586",
"1775735376.557","585",
"1775735376.657","582",
"1775735376.757","582",
"1775735376.857","586",
"1775735376.957","587",
"1775735377.057","584",
"1775735377.157","583",
"1775735377.257","583",
"1775735377.357","586",
"1775735377.457","583",
"1775735377.557","570",
"1775735377.657","584",
"1775735377.757","585",
"1775735377.857","584",
"1775735377.957","583",
"1775735378.058","575",
"1775735378.158","584",
"1775735378.258","585",
"1775735378.358","581",
"1775735378.458","575",
"1775735378.558","582",
"1775735378.658","580",
"1775735378.758","574",
"1775735378.858","583",
"1775735378.958","583",
"1775735379.058","574",
"1775735379.158","580",
"1775735379.258","581",
"1775735379.358","580",
"1775735379.458","581",
"1775735379.558","582",
"1775735379.658","575",
"1775735379.758","579",
"1775735379.858","580",
"1775735379.958","575",
"1775735380.058","582",
"1775735380.158","575",
"1775735380.258","581",
"1775735380.358","584",
"1775735380.458","582",
"1775735380.558","583",
"1775735380.658","581",
"1775735380.758","566",
"1775735380.858","584",
"1775735380.958","576",
"1775735381.058","573",
"1775735381.158","575",
"1775735381.258","574",
"1775735381.358","574",
"1775735381.458","575",
"1775735381.558","574",
"1775735381.658","574",
"1775735381.758","575",
"1775735381.858","574",
"1775735381.958","573",
"1775735382.058","575",
"1775735382.158","574",
"1775735382.258","573",
"1775735382.358","573",
"1775735382.458","574",
"1775735382.558","580",
"1775735382.658","572",
"1775735382.758","572",
"1775735382.858","575",
"1775735382.958","572",
"1775735383.058","574",
"1775735383.157","571",
"1775735383.257","581",
"1775735383.357","569",
"1775735383.457","572",
"1775735383.558","573",
"1775735383.658","573",
"1775735383.757","572",
"1775735383.858","570",
"1775735383.958","573",
"1775735384.058","573",
"1775735384.158","573",
"1775735384.257","573",
"1775735384.358","570",
"1775735384.458","572",
"1775735384.557","571",
"1775735384.657","572",
"1775735384.757","573",
"1775735384.858","573",
"1775735384.957","573",
"1775735385.057","570",
"1775735385.158","570",
"1775735385.257","572",
"1775735385.357","572",
"1775735385.458","570",
"1775735385.558","572",
"1775735385.657","571",
"1775735385.757","569",
"1775735385.857","571",
"1775735385.957","570",
"1775735386.057","568",
"1775735386.157","569",
"1775735386.257","570",
"1775735386.358","569",
"1775735386.457","569",
"1775735386.558","570",
"1775735386.657","568",
"1775735386.758","568",
"1775735386.857","569",
"1775735386.957","569",
"1775735387.057","570",
"1775735387.157","570",
"1775735387.257","570",
"1775735387.357","568",
"1775735387.458","568",
"1775735387.557","568",
"1775735387.657","567",
"1775735387.758","572",
"1775735387.858","580",
"1775735387.958","567",
"1775735388.057","567",
"1775735388.157","567",
"1775735388.257","568",
"1775735388.358","569",
"1775735388.457","568",
"1775735388.558","568",
"1775735388.658","567",
"1775735388.757","567",
"1775735388.858","568",
"1775735388.957","569",
"1775735389.058","567",
"1775735389.157","567",
"1775735389.257","570",
"1775735389.358","564",
"1775735389.457","566",
"1775735389.558","566",
"1775735389.658","566",
"1775735389.757","568",
"1775735389.857","567",
"1775735389.958","567",
"1775735390.057","569",
"1775735390.157","568",
"1775735390.258","565",
