Timestamp(ms),Sensor,Temp(C),Humidity(%),Pressure(hPa),Gas(Ohm/Analog)
3061,MQ2,0.00,0.00,0.00,3803.00
3047,MQ2,0.00,0.00,0.00,3737.00
6047,MQ2,0.00,0.00,0.00,3711.00
9047,MQ2,0.00,0.00,0.00,3674.00
12047,MQ2,0.00,0.00,0.00,3651.00
15047,MQ2,0.00,0.00,0.00,3625.00
18047,MQ2,0.00,0.00,0.00,3600.00
21047,MQ2,0.00,0.00,0.00,3605.00
24047,MQ2,0.00,0.00,0.00,3606.00
27047,MQ2,0.00,0.00,0.00,3651.00
30047,MQ2,0.00,0.00,0.00,3615.00
33047,MQ2,0.00,0.00,0.00,3577.00
36047,MQ2,0.00,0.00,0.00,3566.00
39047,MQ2,0.00,0.00,0.00,3555.00
42047,MQ2,0.00,0.00,0.00,3536.00
45047,MQ2,0.00,0.00,0.00,3489.00
48047,MQ2,0.00,0.00,0.00,3472.00
51047,MQ2,0.00,0.00,0.00,3446.00
54047,MQ2,0.00,0.00,0.00,3427.00
57047,MQ2,0.00,0.00,0.00,3403.00
60047,MQ2,0.00,0.00,0.00,3450.00
63047,MQ2,0.00,0.00,0.00,3437.00
66047,MQ2,0.00,0.00,0.00,3408.00
69047,MQ2,0.00,0.00,0.00,3385.00
72047,MQ2,0.00,0.00,0.00,3359.00
75047,MQ2,0.00,0.00,0.00,3327.00
78047,MQ2,0.00,0.00,0.00,3312.00
81047,MQ2,0.00,0.00,0.00,3291.00
84047,MQ2,0.00,0.00,0.00,3281.00
87047,MQ2,0.00,0.00,0.00,3263.00
90047,MQ2,0.00,0.00,0.00,4015.00
93047,MQ2,0.00,0.00,0.00,4095.00
96047,MQ2,0.00,0.00,0.00,3775.00
99047,MQ2,0.00,0.00,0.00,4095.00
102047,MQ2,0.00,0.00,0.00,4095.00
105047,MQ2,0.00,0.00,0.00,4095.00
108047,MQ2,0.00,0.00,0.00,4095.00
111047,MQ2,0.00,0.00,0.00,4095.00
114047,MQ2,0.00,0.00,0.00,3989.00
117047,MQ2,0.00,0.00,0.00,3696.00
120047,MQ2,0.00,0.00,0.00,3563.00
123047,MQ2,0.00,0.00,0.00,3369.00
126047,MQ2,0.00,0.00,0.00,3319.00
129047,MQ2,0.00,0.00,0.00,3235.00
132047,MQ2,0.00,0.00,0.00,3203.00
135047,MQ2,0.00,0.00,0.00,3179.00
138047,MQ2,0.00,0.00,0.00,3200.00
141047,MQ2,0.00,0.00,0.00,3163.00
144047,MQ2,0.00,0.00,0.00,4095.00
147047,MQ2,0.00,0.00,0.00,4095.00
150047,MQ2,0.00,0.00,0.00,4095.00
153047,MQ2,0.00,0.00,0.00,3941.00
156047,MQ2,0.00,0.00,0.00,3622.00
159047,MQ2,0.00,0.00,0.00,3468.00
