Timestamp(ms),Sensor,Temp(C),Humidity(%),Pressure(hPa),Gas(Ohm/Analog)
372031,MQ2,0.00,0.00,0.00,1767.00
375031,MQ2,0.00,0.00,0.00,1682.00
378031,MQ2,0.00,0.00,0.00,1653.00
381031,MQ2,0.00,0.00,0.00,1631.00
384031,MQ2,0.00,0.00,0.00,1617.00
387031,MQ2,0.00,0.00,0.00,1606.00
390031,MQ2,0.00,0.00,0.00,1598.00
393031,MQ2,0.00,0.00,0.00,1586.00
396031,MQ2,0.00,0.00,0.00,1581.00
399031,MQ2,0.00,0.00,0.00,1569.00
402031,MQ2,0.00,0.00,0.00,1566.00
405031,MQ2,0.00,0.00,0.00,1535.00
408031,MQ2,0.00,0.00,0.00,1535.00
411031,MQ2,0.00,0.00,0.00,1535.00
414031,MQ2,0.00,0.00,0.00,1520.00
417031,MQ2,0.00,0.00,0.00,1519.00
420031,MQ2,0.00,0.00,0.00,1514.00
423031,MQ2,0.00,0.00,0.00,1509.00
426031,MQ2,0.00,0.00,0.00,1497.00
429031,MQ2,0.00,0.00,0.00,1495.00
432031,MQ2,0.00,0.00,0.00,1481.00
435031,MQ2,0.00,0.00,0.00,1481.00
438031,MQ2,0.00,0.00,0.00,1467.00
441031,MQ2,0.00,0.00,0.00,1462.00
444031,MQ2,0.00,0.00,0.00,1459.00
447031,MQ2,0.00,0.00,0.00,1454.00
450031,MQ2,0.00,0.00,0.00,1441.00
453031,MQ2,0.00,0.00,0.00,1441.00
456031,MQ2,0.00,0.00,0.00,1435.00
459031,MQ2,0.00,0.00,0.00,1427.00
462031,MQ2,0.00,0.00,0.00,1425.00
465031,MQ2,0.00,0.00,0.00,1424.00
468031,MQ2,0.00,0.00,0.00,1424.00
471031,MQ2,0.00,0.00,0.00,1418.00
474031,MQ2,0.00,0.00,0.00,1411.00
477031,MQ2,0.00,0.00,0.00,1408.00
480031,MQ2,0.00,0.00,0.00,1403.00
483031,MQ2,0.00,0.00,0.00,1394.00
486031,MQ2,0.00,0.00,0.00,1397.00
489031,MQ2,0.00,0.00,0.00,1391.00
492031,MQ2,0.00,0.00,0.00,1385.00
495031,MQ2,0.00,0.00,0.00,1383.00
498031,MQ2,0.00,0.00,0.00,1381.00
501031,MQ2,0.00,0.00,0.00,1375.00
504031,MQ2,0.00,0.00,0.00,1367.00
507031,MQ2,0.00,0.00,0.00,1361.00
510031,MQ2,0.00,0.00,0.00,1360.00
513031,MQ2,0.00,0.00,0.00,1356.00
516031,MQ2,0.00,0.00,0.00,1350.00
519031,MQ2,0.00,0.00,0.00,1345.00
522031,MQ2,0.00,0.00,0.00,1331.00
