Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966986.7708054,5.048,6.120,61.200,308.000
1779966986.7739,5.048,6.100,60.900,308.000
1779966986.7778194,5.048,6.140,61.200,308.000
1779966986.7816837,5.048,6.120,61.300,312.000
1779966986.7848203,5.052,6.070,60.900,308.000
1779966986.7887855,5.052,6.090,61.000,308.000
1779966986.7926574,5.052,6.070,60.800,304.000
1779966986.795822,5.052,5.950,59.700,302.000
1779966986.7998724,5.056,5.950,57.400,288.000
1779966986.803638,5.056,4.780,47.600,240.000
1779966986.806713,5.052,8.340,84.700,426.000
1779966986.810858,5.040,8.560,85.600,432.000
1779966986.8137827,5.040,8.560,85.800,432.000
1779966986.8177128,5.044,8.580,85.800,432.000
1779966986.8217003,5.044,8.580,84.700,426.000
1779966986.82472,5.040,9.050,90.500,456.000
1779966986.8286943,5.040,8.910,89.100,458.000
1779966986.8327708,5.040,9.100,90.200,456.000
1779966986.835813,5.040,9.070,90.200,458.000
1779966986.839823,5.040,8.610,46.300,232.000
1779966986.8437126,5.056,4.530,45.200,230.000
1779966986.846816,5.052,4.500,45.000,226.000
1779966986.8508425,5.056,4.430,44.200,222.000
1779966986.8546722,5.052,4.450,44.700,226.000
1779966986.8578715,5.052,4.460,44.600,226.000
1779966986.8617435,5.056,4.450,44.600,226.000
1779966986.8657827,5.060,4.440,44.400,226.000
1779966986.8688476,5.060,4.420,44.400,222.000
1779966986.8728282,5.060,4.450,44.400,226.000
1779966986.8765807,5.052,4.440,44.200,226.000
1779966986.879825,5.056,4.430,44.100,222.000
1779966986.8838375,5.056,4.400,44.000,222.000
1779966986.8868022,5.056,4.420,44.200,226.000
1779966986.8907921,5.060,4.450,44.600,226.000
1779966986.8949184,5.056,4.440,44.300,222.000
1779966986.8977718,5.056,4.420,44.300,222.000
1779966986.9017017,5.060,4.410,44.300,222.000
1779966986.9058833,5.060,4.430,44.500,226.000
1779966986.9087095,5.056,4.440,44.300,222.000
1779966986.912725,5.056,4.430,44.500,226.000
1779966986.9166453,5.056,4.420,44.100,222.000
1779966986.9200275,5.056,4.410,44.200,222.000
1779966986.9238183,5.056,4.420,44.400,226.000
